item,year,element_code,value
Cattle,2017,5111,1480255616.0
Cattle,2018,5111,1488157584.0
Cattle,2019,5111,1505102500.0
Cattle,2020,5111,1526880528.0
Cattle,2021,5111,1540784473.0
Cattle,2022,5111,1555410381.0
Cattle,2023,5111,1574141046.0
Cattle,2024,5111,1578614149.0
Chickens,1961,5112,3906216.0
Chickens,1962,5112,4048266.0
Chickens,1963,5112,4162664.0
Chickens,1964,5112,4230748.0
Chickens,1965,5112,4349174.0
Chickens,1966,5112,4445126.0
Chickens,1967,5112,4665949.0
Chickens,1968,5112,4822623.0
Chickens,1969,5112,4987904.0
Chickens,1970,5112,5209083.0
Chickens,1971,5112,5380488.0
Chickens,1972,5112,5538232.0
Chickens,1973,5112,5661733.0
Chickens,1974,5112,5803304.0
Chickens,1975,5112,5892599.0
Chickens,1976,5112,6061004.0
Chickens,1977,5112,6258358.0
Chickens,1978,5112,6586930.0
Chickens,1979,5112,6923284.0
Chickens,1980,5112,7217897.0
Chickens,1981,5112,7513200.0
Chickens,1982,5112,7747450.0
Chickens,1983,5112,7958039.0
Chickens,1984,5112,8274055.0
Chickens,1985,5112,8613401.0
Chickens,1986,5112,9058319.0
Chickens,1987,5112,9558960.0
Chickens,1988,5112,9930714.0
Chickens,1989,5112,10252032.0
Chickens,1990,5112,10619453.0
Chickens,1991,5112,10809018.0
Chickens,1992,5112,11185593.0
Chickens,1993,5112,11703749.0
Chickens,1994,5112,12288056.0
Chickens,1995,5112,12651466.0
Chickens,1996,5112,13329075.0
Chickens,1997,5112,13960924.0
Chickens,1998,5112,12942946.0
Chickens,1999,5112,13420553.0
Chickens,2000,5112,14120529.0
Chickens,2001,5112,14667691.0
Chickens,2002,5112,15852064.0
Chickens,2003,5112,15919015.0
Chickens,2004,5112,16486248.0
Chickens,2005,5112,16977482.0
Chickens,2006,5112,17373920.0
Chickens,2007,5112,18083994.0
Chickens,2008,5112,18786785.0
Chickens,2009,5112,19578125.0
Chickens,2010,5112,20109259.0
Chickens,2011,5112,19868328.0
Chickens,2012,5112,20425762.0
Chickens,2013,5112,20923553.0
Chickens,2014,5112,21128839.0
Chickens,2015,5112,21886672.0
Chickens,2016,5112,22606087.0
Chickens,2017,5112,24699021.0
Chickens,2018,5112,25123685.0
Chickens,2019,5112,25781599.0
Chickens,2020,5112,25978406.0
Chickens,2021,5112,26128374.0
Chickens,2022,5112,26734785.0
Chickens,2023,5112,27108079.0
Chickens,2024,5112,27680730.0
Goats,1961,5111,348623462.0
Goats,1962,5111,363567061.0
Goats,1963,5111,369761842.0
Goats,1964,5111,368227998.0
Goats,1965,5111,367341568.0
Goats,1966,5111,368676333.0
Goats,1967,5111,370389726.0
Goats,1968,5111,376863927.0
Goats,1969,5111,377640027.0
Goats,1970,5111,377493138.0
Goats,1971,5111,381445963.0
Goats,1972,5111,384639478.0
Goats,1973,5111,384851400.0
Goats,1974,5111,394035713.0
Goats,1975,5111,405270571.0
Goats,1976,5111,416669667.0
Goats,1977,5111,422983491.0
Goats,1978,5111,439742545.0
Goats,1979,5111,455639742.0
Goats,1980,5111,465240344.0
Goats,1981,5111,475115456.0
Goats,1982,5111,482869789.0
Goats,1983,5111,493094407.0
Goats,1984,5111,486243716.0
Goats,1985,5111,488621183.0
Goats,1986,5111,502354939.0
Goats,1987,5111,525183976.0
Goats,1988,5111,548399222.0
Goats,1989,5111,576888563.0
Goats,1990,5111,592773939.0
Goats,1991,5111,600241038.0
Goats,1992,5111,608738887.0
Goats,1993,5111,616451356.0
Goats,1994,5111,646062012.0
Goats,1995,5111,677936717.0
Goats,1996,5111,709620075.0
Goats,1997,5111,698399100.0
Goats,1998,5111,720517503.0
Goats,1999,5111,737340377.0
Goats,2000,5111,753531270.0
Goats,2001,5111,764048580.0
Goats,2002,5111,771432201.0
Goats,2003,5111,783869647.0
Goats,2004,5111,806138455.0
Goats,2005,5111,828835338.0
Goats,2006,5111,828566044.0
Goats,2007,5111,855753328.0
Goats,2008,5111,875838478.0
Goats,2009,5111,887132797.0
Goats,2010,5111,890939660.0
Goats,2011,5111,904003016.0
Goats,2012,5111,922906050.0
Goats,2013,5111,946916648.0
Goats,2014,5111,965869762.0
Goats,2015,5111,982148369.0
Goats,2016,5111,1006820048.0
Goats,2017,5111,1023365009.0
Goats,2018,5111,1037566518.0
Goats,2019,5111,1075795516.0
Goats,2020,5111,1094427590.0
Goats,2021,5111,1104754996.0
Goats,2022,5111,1136340133.0
Goats,2023,5111,1162134809.0
Goats,2024,5111,1187524236.0
Sheep,1961,5111,993586787.0
Sheep,1962,5111,996524490.0
Sheep,1963,5111,999005000.0
Sheep,1964,5111,1012803533.0
Sheep,1965,5111,1030191907.0
Sheep,1966,5111,1039996645.0
Sheep,1967,5111,1058446099.0
Sheep,1968,5111,1073334785.0
Sheep,1969,5111,1080021580.0
Sheep,1970,5111,1062569922.0
Sheep,1971,5111,1065783644.0
Sheep,1972,5111,1037081955.0
Sheep,1973,5111,1017022989.0
Sheep,1974,5111,1028194254.0
Sheep,1975,5111,1047217138.0
Sheep,1976,5111,1046450678.0
Sheep,1977,5111,1036324438.0
Sheep,1978,5111,1048967808.0
Sheep,1979,5111,1067750058.0
Sheep,1980,5111,1097163590.0
Sheep,1981,5111,1111316012.0
Sheep,1982,5111,1130093646.0
Sheep,1983,5111,1126263905.0
Sheep,1984,5111,1119527891.0
Sheep,1985,5111,1118935435.0
Sheep,1986,5111,1126853502.0
Sheep,1987,5111,1142652803.0
Sheep,1988,5111,1163492184.0
Sheep,1989,5111,1198206839.0
Sheep,1990,5111,1206765754.0
Sheep,1991,5111,1187048932.0
Sheep,1992,5111,1166578765.0
Sheep,1993,5111,1122396107.0
Sheep,1994,5111,1111912901.0
Sheep,1995,5111,1077385064.0
Sheep,1996,5111,1065168889.0
Sheep,1997,5111,1043058129.0
Sheep,1998,5111,1049639478.0
Sheep,1999,5111,1061755510.0
Sheep,2000,5111,1063823850.0
Sheep,2001,5111,1042061177.0
Sheep,2002,5111,1034229251.0
Sheep,2003,5111,1045498223.0
Sheep,2004,5111,1073745919.0
Sheep,2005,5111,1104658612.0
Sheep,2006,5111,1109837761.0
Sheep,2007,5111,1120991849.0
Sheep,2008,5111,1105603767.0
Sheep,2009,5111,1099897505.0
Sheep,2010,5111,1100684353.0
Sheep,2011,5111,1121122541.0
Sheep,2012,5111,1136575284.0
Sheep,2013,5111,1165548438.0
Sheep,2014,5111,1161267593.0
Sheep,2015,5111,1186098154.0
Sheep,2016,5111,1200650591.0
Sheep,2017,5111,1215308822.0
Sheep,2018,5111,1217843130.0
Sheep,2019,5111,1244380266.0
Sheep,2020,5111,1287416791.0
Sheep,2021,5111,1324650560.0
Sheep,2022,5111,1347999945.0
Sheep,2023,5111,1357014834.0
Sheep,2024,5111,1362590940.0
Swine / pigs,1961,5111,406122871.0
Swine / pigs,1962,5111,422905970.0
Swine / pigs,1963,5111,447799600.0
Swine / pigs,1964,5111,459000917.0
Swine / pigs,1965,5111,496357598.0
Swine / pigs,1966,5111,510364963.0
Swine / pigs,1967,5111,547523421.0
Swine / pigs,1968,5111,546942396.0
Swine / pigs,1969,5111,537580094.0
Swine / pigs,1970,5111,547165167.0
Swine / pigs,1971,5111,618347371.0
Swine / pigs,1972,5111,669075471.0
Swine / pigs,1973,5111,684070442.0
Swine / pigs,1974,5111,687530688.0
Swine / pigs,1975,5111,685644696.0
Swine / pigs,1976,5111,682450728.0
Swine / pigs,1977,5111,711352380.0
Swine / pigs,1978,5111,737579164.0
Swine / pigs,1979,5111,765112894.0
Swine / pigs,1980,5111,797989917.0
Swine / pigs,1981,5111,780853607.0
Swine / pigs,1982,5111,769691699.0
Swine / pigs,1983,5111,776805122.0
Swine / pigs,1984,5111,788496037.0
Swine / pigs,1985,5111,793827411.0
Swine / pigs,1986,5111,825983008.0
Swine / pigs,1987,5111,836271405.0
Swine / pigs,1988,5111,829996885.0
Swine / pigs,1989,5111,844766178.0
Swine / pigs,1990,5111,849307713.0
Swine / pigs,1991,5111,868721141.0
Swine / pigs,1992,5111,870328293.0
Swine / pigs,1993,5111,875211292.0
Swine / pigs,1994,5111,882927383.0
Swine / pigs,1995,5111,896177752.0
Swine / pigs,1996,5111,910118665.0
Swine / pigs,1997,5111,834816316.0
Swine / pigs,1998,5111,870175914.0
Swine / pigs,1999,5111,891110870.0
Swine / pigs,2000,5111,898673193.0
Swine / pigs,2001,5111,881898705.0
Swine / pigs,2002,5111,892296029.0
Swine / pigs,2003,5111,898484011.0
Swine / pigs,2004,5111,892740971.0
Swine / pigs,2005,5111,904225232.0
Swine / pigs,2006,5111,924693881.0
Swine / pigs,2007,5111,918827412.0
Swine / pigs,2008,5111,938177201.0
Swine / pigs,2009,5111,967502257.0
Swine / pigs,2010,5111,971407753.0
Swine / pigs,2011,5111,973506685.0
Swine / pigs,2012,5111,983901311.0
Swine / pigs,2013,5111,979270352.0
Swine / pigs,2014,5111,990023467.0
Swine / pigs,2015,5111,993630492.0
Swine / pigs,2016,5111,986909198.0
Swine / pigs,2017,5111,978654429.0
Swine / pigs,2018,5111,959138359.0
Swine / pigs,2019,5111,840349558.0
Swine / pigs,2020,5111,939793606.0
Swine / pigs,2021,5111,986359758.0
Swine / pigs,2022,5111,984854015.0
Swine / pigs,2023,5111,965707560.0
Swine / pigs,2024,5111,962441623.0
